event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,72,2025-05-08T10:10:00+00:00,2025,9,Collingwood,Fremantle,97.0,83.0,win,1547.7748839188034,1551.957298328811,4.182414410007544
match,73,2025-05-09T09:40:00+00:00,2025,9,St Kilda,Carlton,62.0,77.0,loss,1496.1138986813787,1491.6117229946778,-4.502175686700805
match,73,2025-05-09T09:40:00+00:00,2025,9,Carlton,St Kilda,77.0,62.0,win,1510.8996211071558,1515.4017967938566,4.502175686700805
match,74,2025-05-10T03:20:00+00:00,2025,9,Melbourne,Hawthorn,56.0,91.0,loss,1505.1423025318668,1499.3537457508198,-5.788556781046898
match,74,2025-05-10T03:20:00+00:00,2025,9,Hawthorn,Melbourne,91.0,56.0,win,1532.01493533319,1537.8034921142369,5.788556781046898
match,75,2025-05-10T06:15:00+00:00,2025,9,Essendon,Sydney,71.0,63.0,win,1481.2843440459835,1484.4745930496417,3.1902490036583036
match,75,2025-05-10T06:15:00+00:00,2025,9,Sydney,Essendon,63.0,71.0,loss,1553.724806835269,1550.5345578316108,-3.1902490036583036
match,76,2025-05-10T09:35:00+00:00,2025,9,Gold Coast,Western Bulldogs,106.0,96.0,win,1496.6897878709801,1499.9853361559442,3.2955482849641013
match,76,2025-05-10T09:35:00+00:00,2025,9,Western Bulldogs,Gold Coast,96.0,106.0,loss,1546.609241083617,1543.313692798653,-3.2955482849641013
match,77,2025-05-10T10:10:00+00:00,2025,9,Port Adelaide,Adelaide,84.0,89.0,loss,1524.1354726847117,1521.068546750454,-3.0669259342576
match,77,2025-05-10T10:10:00+00:00,2025,9,Adelaide,Port Adelaide,89.0,84.0,win,1495.6532724134595,1498.720198347717,3.0669259342576
match,78,2025-05-11T03:10:00+00:00,2025,9,Richmond,West Coast,81.0,79.0,win,1397.9856947457633,1399.049138567709,1.0634438219455875
match,78,2025-05-11T03:10:00+00:00,2025,9,West Coast,Richmond,79.0,81.0,loss,1367.1059987465133,1366.0425549245676,-1.0634438219455875
match,79,2025-05-11T05:20:00+00:00,2025,9,Geelong,Greater Western Sydney,101.0,105.0,loss,1553.6094148928114,1550.8583575636694,-2.751057329141914
match,79,2025-05-11T05:20:00+00:00,2025,9,Greater Western Sydney,Geelong,105.0,101.0,win,1520.197564869771,1522.948622198913,2.751057329141914
match,80,2025-05-11T06:40:00+00:00,2025,9,North Melbourne,Brisbane Lions,71.0,71.0,draw,1363.9731135856503,1363.9731135856503,0.0
match,80,2025-05-11T06:40:00+00:00,2025,9,Brisbane Lions,North Melbourne,71.0,71.0,draw,1592.5460616572818,1592.5460616572818,-0.0
match,81,2025-05-15T09:30:00+00:00,2025,10,Gold Coast,Hawthorn,104.0,96.0,win,1499.9853361559442,1502.8689727474446,2.8836365915003808
match,81,2025-05-15T09:30:00+00:00,2025,10,Hawthorn,Gold Coast,96.0,104.0,loss,1537.8034921142369,1534.9198555227365,-2.8836365915003808
match,82,2025-05-16T09:40:00+00:00,2025,10,Sydney,Carlton,78.0,62.0,win,1550.5345578316108,1553.526525408013,2.9919675764022804
match,82,2025-05-16T09:40:00+00:00,2025,10,Carlton,Sydney,62.0,78.0,loss,1515.4017967938566,1512.4098292174544,-2.9919675764022804
match,83,2025-05-17T03:20:00+00:00,2025,10,Collingwood,Adelaide,78.0,68.0,win,1551.957298328811,1554.2826859211973,2.325387592386319
match,83,2025-05-17T03:20:00+00:00,2025,10,Adelaide,Collingwood,68.0,78.0,loss,1498.720198347717,1496.3948107553308,-2.325387592386319
match,84,2025-05-17T06:15:00+00:00,2025,10,Greater Western Sydney,Fremantle,61.0,95.0,loss,1522.948622198913,1516.628699596802,-6.319922602110977
match,84,2025-05-17T06:15:00+00:00,2025,10,Fremantle,Greater Western Sydney,95.0,61.0,win,1510.3571711315744,1516.6770937336853,6.319922602110977
match,85,2025-05-17T06:15:00+00:00,2025,10,Port Adelaide,Geelong,39.0,115.0,loss,1521.068546750454,1513.986609841994,-7.0819369084600625
match,85,2025-05-17T06:15:00+00:00,2025,10,Geelong,Port Adelaide,115.0,39.0,win,1550.8583575636694,1557.9402944721294,7.0819369084600625
match,86,2025-05-17T09:35:00+00:00,2025,10,Western Bulldogs,Essendon,127.0,36.0,win,1543.313692798653,1547.8782839369026,4.564591138249656
match,86,2025-05-17T09:35:00+00:00,2025,10,Essendon,Western Bulldogs,36.0,127.0,loss,1484.4745930496417,1479.910001911392,-4.564591138249656
match,87,2025-05-18T03:10:00+00:00,2025,10,Richmond,North Melbourne,74.0,78.0,loss,1399.049138567709,1396.2883761580626,-2.7607624096462104
match,87,2025-05-18T03:10:00+00:00,2025,10,North Melbourne,Richmond,78.0,74.0,win,1363.9731135856503,1366.7338759952966,2.7607624096462104
match,88,2025-05-18T05:20:00+00:00,2025,10,Brisbane Lions,Melbourne,88.0,99.0,loss,1592.5460616572818,1587.5519200264803,-4.994141630801579
match,88,2025-05-18T05:20:00+00:00,2025,10,Melbourne,Brisbane Lions,99.0,88.0,win,1499.3537457508198,1504.3478873816214,4.994141630801579
match,89,2025-05-18T06:40:00+00:00,2025,10,West Coast,St Kilda,108.0,80.0,win,1366.0425549245676,1371.9012987514532,5.858743826885521
match,89,2025-05-18T06:40:00+00:00,2025,10,St Kilda,West Coast,80.0,108.0,loss,1491.6117229946778,1485.7529791677923,-5.858743826885521
